ticker,name,sector,market,status,delist_reason,total_ret,cagr,mdd,ann_vol,best_year,worst_year,med_daily_value,pattern,artifact_tier,artifact_suspect,n_over_limit,n_intmult,jump_zero_vol,zero_vol_pct,max_flat_run,last_vs_peak_pct,final_30d_pct,n_days,first_date,last_date
241690,유니테크노,30331,,survivor,,0.1884,0.0188,-0.8244,0.5261,2017:110%,2022:-61%,348457637.125,spike,clean,False,0,0,0,0.005,3,,,2273,2016-09-20,2025-12-30
241710,코스메카코리아,20423,,survivor,,1.1611,0.0877,-0.866,0.5343,2023:254%,2019:-65%,1570151427.1386719,spike,clean,False,0,0,0,0.006,3,,,2246,2016-10-28,2025-12-30
241770,메카로,261,,survivor,,-0.3127,-0.0454,-0.8246,0.4413,2025:176%,2018:-65%,266761024.95410156,spike,clean,False,0,0,0,0.004,3,,,1975,2017-12-06,2025-12-30
241790,티이엠씨씨엔에스,292,,survivor,,0.2905,0.0285,-0.7965,0.4406,2020:79%,2024:-63%,539771491.7431641,sideways,clean,False,0,0,0,0.005,3,,,2220,2016-12-05,2025-12-30
241820,피씨엘,213,,survivor,,1.3592,0.1019,-0.9867,6.9653,2025:1060%,2024:-85%,651365486.1870117,artifact_confirmed,confirmed,True,1,0,1,0.092,109,,,2165,2017-02-23,2025-12-30
241840,에이스토리,591,,survivor,,-0.3992,-0.076,-0.8733,0.6269,2020:328%,2023:-47%,1302206000.0,spike,clean,False,0,0,0,0.007,2,,,1580,2019-07-22,2025-12-30
242040,나무기술,582,,survivor,,-0.3347,-0.0428,-0.7238,0.4936,2019:105%,2024:-34%,461209140.0,spike,clean,False,0,0,0,0.027,38,,,2279,2016-09-07,2025-12-30
243070,휴온스,212,,survivor,,-0.383,-0.0492,-0.6718,0.4097,2017:55%,2022:-38%,1386914507.0234375,sideways,clean,False,0,0,0,0.004,2,,,2345,2016-06-03,2025-12-30
243840,신흥에스이씨,28202,,survivor,,-0.7627,-0.1599,-0.9568,0.5667,2018:53%,2024:-89%,1873807795.3320312,artifact_confirmed,confirmed,True,1,0,1,0.011,6,,,2019,2017-09-27,2025-12-30
244460,올리패스,211,,survivor,,-0.9001,-0.3072,-0.9817,3.6122,2024:571%,2023:-87%,621968800.0,decline,watch,False,1,0,0,0.131,178,,,1539,2019-09-20,2025-12-30
244920,에이플러스에셋,66202,,survivor,,0.6567,0.1039,-0.6929,0.4237,2025:109%,2022:-43%,292946671.6484375,spike,clean,False,0,0,0,0.007,3,,,1250,2020-11-20,2025-12-30
245620,EDGC,70113,,survivor,,-0.9083,-0.2725,-0.9563,0.6952,2020:78%,2023:-73%,1179958096.614746,decline,watch,False,1,0,0,0.233,419,,,1843,2018-06-26,2025-12-30
246250,에스엘에스바이오,739,,survivor,,-0.2045,-0.0238,-0.8227,0.6426,2020:49%,2022:-44%,7928555.400390625,sideways,watch,False,2,0,0,0.166,138,,,2328,2016-06-29,2025-12-30
246690,TS인베스트먼트,64209,,survivor,,-0.3664,-0.0546,-0.8618,0.5764,2025:51%,2022:-38%,269657367.5895996,sideways,clean,False,0,0,0,0.077,117,,,1989,2017-11-16,2025-12-30
246710,티앤알바이오팹,21100,,survivor,,-0.055,-0.008,-0.9592,0.7452,2021:198%,2022:-54%,1188050279.7319336,spike,clean,False,0,0,0,0.006,3,,,1738,2018-11-28,2025-12-30
246720,아스타,213,,survivor,,-0.2923,-0.0386,-0.8883,0.6307,2025:77%,2018:-54%,208246080.0,sideways,clean,False,0,0,0,0.005,3,,,2149,2017-03-20,2025-12-30
246960,SCL사이언스,213,,survivor,,-0.5245,-0.102,-0.7318,0.5418,2020:20%,2022:-29%,161760950.0,decline,clean,False,0,0,0,0.005,2,,,1694,2019-02-01,2025-12-30
247540,에코프로비엠,28202,KOSDAQ,survivor,,8.5039,0.391,-0.8242,0.6106,2020:222%,2024:-62%,75588481090.27539,sideways,clean,False,0,0,0,0.004,2,,,1676,2019-03-05,2025-12-30
247660,나노씨엠에스,2629,,survivor,,-0.7812,-0.2709,-0.9618,0.8022,2025:-21%,2022:-75%,495968820.0,decline,clean,False,0,0,0,0.007,2,,,1179,2021-03-09,2025-12-30
248070,솔루엠,2629,,survivor,,-0.4283,-0.1077,-0.5704,0.3935,2023:57%,2024:-30%,5931377162.234375,sideways,clean,False,0,0,0,0.007,5,,,1201,2021-02-02,2025-12-30
248170,샘표식품,108,,survivor,,-0.43,-0.0581,-0.6989,0.4315,2020:55%,2022:-22%,437418279.9980469,sideways,clean,False,0,0,0,0.005,3,,,2299,2016-08-09,2025-12-30
249420,일동제약,212,,survivor,,1.1433,0.0851,-0.8609,0.642,2025:227%,2023:-36%,1666395841.5585938,spike,clean,False,0,0,0,0.004,2,,,2284,2016-08-31,2025-12-30
250000,보라티알,4632,,survivor,,-0.4738,-0.0723,-0.7884,0.5643,2019:67%,2018:-54%,393371985.0019531,sideways,clean,False,0,0,0,0.006,4,,,2095,2017-06-09,2025-12-30
250060,모비스,620,,survivor,,0.9173,0.0724,-0.799,0.6782,2023:165%,2019:-48%,921411292.5,spike,clean,False,0,0,0,0.025,48,,,2278,2016-09-08,2025-12-30
