ticker,name,reason,sub_reason,capital_impair,loss_years,impair_first_year,last_year,last_vs_peak_pct,final_30d_pct,last_date
036490,에스케이머티리얼즈,피인수상폐,피인수상폐,정상,0.0,,2021,91.0,4.2,2021-12-24
036500,에스에스컴텍,부실상폐,적자지속,정상,2.0,,2017,0.9,-94.9,2017-05-10
036550,에이스디지텍,자진상폐,자진상폐,재무없음,,,2011,69.6,-7.1,2011-08-19
036840,휴코드홀딩스,부실상폐,소형·재무자료없음,재무없음,,,2011,3.5,-91.4,2011-09-14
036850,나리지*온,피인수상폐,피인수상폐,재무없음,,,2010,100.0,28.9,2010-07-13
036920,지앤에스티,부실상폐,소형·재무자료없음,재무없음,,,2013,1.8,-93.0,2013-05-06
037020,한와이어리스,부실상폐,소형·재무자료없음,재무없음,,,2011,0.1,-99.6,2011-04-22
037110,제이에스,부실상폐,소형·재무자료없음,재무없음,,,2010,1.9,-97.7,2010-04-30
037150,씨제이인터넷,피인수상폐,피인수상폐,재무없음,,,2011,100.0,9.2,2011-03-21
037240,평안물산,부실상폐,소형·재무자료없음,재무없음,,,2012,7.4,-81.1,2012-05-31
037320,시노펙스그린테크,피인수상폐,피인수상폐,재무없음,,,2012,61.7,27.0,2012-03-16
037340,에이치씨코퍼레이션,부실상폐,부분자본잠식,부분자본잠식,1.0,2015.0,2016,0.5,-96.3,2016-09-07
037380,에이원마이크로,부실상폐,소형·재무자료없음,재무없음,,,2012,0.1,-99.3,2012-01-31
037540,네스테크,부실상폐,소형·재무자료없음,재무없음,,,2011,4.7,-84.7,2011-11-25
037550,클라스타,부실상폐,소형·재무자료없음,재무없음,,,2011,0.2,-98.9,2011-10-25
037620,미래에셋증권,자진상폐,자진상폐,재무없음,,,2017,75.8,3.0,2017-01-19
037630,에스비엠,자진상폐,자진상폐,재무없음,,,2013,28.9,-8.8,2013-07-23
037700,토자이홀딩스,부실상폐,소형·재무자료없음,재무없음,,,2011,3.9,-89.5,2011-10-11
037830,글로포스트,부실상폐,소형·재무자료없음,재무없음,,,2010,2.7,0.0,2010-02-08
038120,에이디모터스,부실상폐,소형·재무자료없음,재무없음,,,2013,2.2,-87.0,2013-01-29
038160,팍스넷,부실상폐,완전자본잠식,완전자본잠식,3.0,2020.0,2021,7.0,-92.7,2021-08-20
038320,어울림정보기술,부실상폐,소형·재무자료없음,재무없음,,,2012,3.5,-96.5,2012-09-07
038340,무궁화인포메이션테크놀로지,부실상폐,부분자본잠식,부분자본잠식,3.0,2017.0,2025,5.7,-94.3,2025-03-27
038690,에이스일렉트로닉스,부실상폐,소형·재무자료없음,재무없음,,,2010,5.5,-91.5,2010-04-16
038710,콜마파마,부실상폐,소형·재무자료없음,재무없음,,,2011,0.7,-94.3,2011-05-06
038720,유일엔시스,부실상폐,소형·재무자료없음,재무없음,,,2013,0.8,-97.4,2013-04-30
038990,넥스콘테크놀러지,피인수상폐,피인수상폐,재무없음,,,2012,100.0,1.5,2012-10-31
039040,유니텍전자,부실상폐,소형·재무자료없음,재무없음,,,2011,0.3,-95.0,2011-04-28
039230,제이앤케이인더스트리,부실상폐,부분자본잠식,부분자본잠식,3.0,2017.0,2021,7.6,-92.4,2021-10-05
039350,헤파호프코리아,부실상폐,소형·재무자료없음,재무없음,,,2011,1.3,-96.9,2011-06-15
039530,씨앤케이인터내셔널,부실상폐,소형·재무자료없음,재무없음,,,2015,11.4,-82.0,2015-05-18
039670,스포츠서울,부실상폐,완전자본잠식,완전자본잠식,2.0,2019.0,2022,1.4,-98.6,2022-04-19
039790,위노바,부실상폐,부분자본잠식,부분자본잠식,2.0,2016.0,2018,3.3,-95.9,2018-03-08
039850,태창파로스,부실상폐,소형·재무자료없음,재무없음,,,2015,2.5,-96.2,2015-05-18
040180,대양글로벌,부실상폐,소형·재무자료없음,재무없음,,,2011,2.3,-82.5,2011-10-24
040670,와이즈파워,부실상폐,소형·재무자료없음,재무없음,,,2015,1.1,-98.2,2015-07-15
040740,아인스엠앤엠,부실상폐,소형·재무자료없음,재무없음,,,2012,0.8,-96.6,2012-04-30
041030,이루넷,부실상폐,소형·재무자료없음,재무없음,,,2010,5.8,-81.0,2010-05-04
041060,아라온테크,부실상폐,소형·재무자료없음,재무없음,,,2014,6.5,-90.6,2014-05-07
041140,넥슨지티,피인수상폐,피인수상폐,정상,0.0,,2022,92.9,38.0,2022-04-14
041320,보홍,부실상폐,소형·재무자료없음,재무없음,,,2010,0.3,-97.8,2010-05-07
041450,인네트,부실상폐,소형·재무자료없음,재무없음,,,2010,0.6,-98.1,2010-09-13
041550,쎄라텍,부실상폐,소형·재무자료없음,재무없음,,,2010,4.0,-80.6,2010-08-24
041630,인젠,부실상폐,소형·재무자료없음,재무없음,,,2010,4.2,-81.8,2010-05-07
041800,코디콤,부실상폐,소형·재무자료없음,재무없음,,,2010,2.9,-97.1,2010-03-08
042340,대국,부실상폐,소형·재무자료없음,재무없음,,,2012,0.8,-97.9,2012-04-12
042670,에이치디현대인프라코어,자진상폐,자진상폐,정상,0.0,,2026,79.4,-8.5,2026-01-23
042820,어울림네트웍스,부실상폐,소형·재무자료없음,재무없음,,,2012,1.1,-98.9,2012-11-16
042870,에코페트로시스템,부실상폐,소형·재무자료없음,재무없음,,,2011,0.3,-95.8,2011-10-05
043290,케이맥,피인수상폐,피인수상폐,정상,2.0,,2021,81.9,-3.1,2021-07-19
043580,에임하이글로벌,부실상폐,적자지속,정상,3.0,,2018,1.7,-97.6,2018-08-09
043630,지앤알,부실상폐,소형·재무자료없음,재무없음,,,2011,0.4,-97.9,2011-04-28
043680,스톰이앤에프,부실상폐,소형·재무자료없음,재무없음,,,2011,0.1,-98.5,2011-04-12
043890,티브로드한빛방송,피인수상폐,피인수상폐,재무없음,,,2012,98.9,0.0,2012-10-31
044060,조광아이엘아이,부실상폐,부분자본잠식,부분자본잠식,3.0,2024.0,2025,5.9,-94.1,2025-08-20
044640,동부씨엔아이,피인수상폐,피인수상폐,재무없음,,,2010,93.7,5.2,2010-11-19
045050,글라소울,부실상폐,소형·재무자료없음,재무없음,,,2012,1.3,-88.5,2012-11-26
045260,디에이치패션,부실상폐,소형·재무자료없음,재무없음,,,2012,1.2,-88.9,2012-07-31
045290,포네이처,부실상폐,소형·재무자료없음,재무없음,,,2010,0.6,-99.1,2010-04-22
045400,이롬텍,부실상폐,소형·재무자료없음,재무없음,,,2010,2.0,0.0,2010-02-10
045470,에이프로테크놀로지,부실상폐,소형·재무자료없음,재무없음,,,2012,0.3,-97.2,2012-04-23
045710,온미디어,피인수상폐,피인수상폐,재무없음,,,2011,100.0,6.5,2011-03-21
045880,유티엑스,부실상폐,소형·재무자료없음,재무없음,,,2010,0.9,-99.1,2010-04-09
045890,금빛,부실상폐,적자지속,정상,3.0,,2021,0.7,-98.3,2021-12-17
046110,한일네트웍스,피인수상폐,피인수상폐,정상,0.0,,2022,94.9,-2.4,2022-10-04
046140,스튜디오에스,자진상폐,자진상폐,정상,0.0,,2023,61.6,4.5,2023-12-15
046240,에스브이에이치,부실상폐,소형·재무자료없음,재무없음,,,2011,0.1,-94.6,2011-02-11
046350,에듀아크,부실상폐,소형·재무자료없음,재무없음,,,2010,1.4,-98.6,2010-04-12
046400,휴스토리,부실상폐,소형·재무자료없음,재무없음,,,2014,2.0,-97.9,2014-09-01
046430,알에스넷,부실상폐,소형·재무자료없음,재무없음,,,2012,0.6,-98.6,2012-12-04
046720,엔하이테크,부실상폐,소형·재무자료없음,재무없음,,,2012,1.0,-91.5,2012-01-31
046840,자유투어,부실상폐,소형·재무자료없음,재무없음,,,2013,3.6,-92.5,2013-04-30
047440,디케이씨,부실상폐,적자지속,정상,3.0,,2018,1.7,-98.1,2018-10-10
047450,이앤텍,부실상폐,소형·재무자료없음,재무없음,,,2010,0.0,-97.5,2010-11-29
047600,세계투어,부실상폐,소형·재무자료없음,재무없음,,,2011,18.9,6.5,2011-09-08
047710,액티투오,부실상폐,소형·재무자료없음,재무없음,,,2010,2.2,-62.2,2010-07-20
047730,텔라움,부실상폐,소형·재무자료없음,재무없음,,,2012,3.6,-94.2,2012-11-16
