ticker,name,sector,market,status,delist_reason,total_ret,cagr,mdd,ann_vol,best_year,worst_year,med_daily_value,pattern,artifact_tier,artifact_suspect,n_over_limit,n_intmult,jump_zero_vol,zero_vol_pct,max_flat_run,last_vs_peak_pct,final_30d_pct,n_days,first_date,last_date
024110,기업은행,64121.0,KOSPI,survivor,,2.1298,0.0998,-0.6219,0.253,2025:57%,2020:-21%,9121972845.643066,sideways,clean,False,0,0,0,0.005,4,,,2941,2014-01-02,2025-12-30
005387,현대차2우B,,,survivor,,2.1252,0.0997,-0.663,0.3181,2023:59%,2018:-20%,5499487042.359375,sideways,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
112610,씨에스윈드,2511.0,KOSPI,survivor,,2.1209,0.1081,-0.6541,0.508,2020:395%,2024:-39%,5585574623.242188,spike,clean,False,0,0,0,0.005,2,,,2719,2014-11-27,2025-12-30
036890,진성티이씨,29241.0,,survivor,,2.1197,0.0995,-0.7386,0.4626,2020:82%,2018:-27%,1188282860.0390625,sideways,clean,False,0,0,0,0.004,3,,,2941,2014-01-02,2025-12-30
117730,티로보틱스,29271.0,,survivor,,2.1034,0.1733,-0.8312,0.662,2023:204%,2024:-59%,1957945390.0,spike,clean,False,0,0,0,0.006,3,,,1737,2018-11-29,2025-12-30
011785,금호석유화학우,,,survivor,,2.0919,0.0987,-0.6095,0.3465,2021:110%,2023:-21%,251862264.7578125,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
100250,진양홀딩스,222.0,,survivor,,2.0824,0.0984,-0.5878,0.2467,2021:36%,2022:-13%,136232506.06567383,sideways,clean,False,0,0,0,0.005,4,,,2941,2014-01-02,2025-12-30
222080,씨아이에스,292.0,KOSDAQ,survivor,,2.0787,0.115,-0.7023,0.5362,2020:259%,2022:-38%,3456966480.0,spike,clean,False,0,0,0,0.021,38,,,2529,2015-09-02,2025-12-30
014580,태경비케이,23312.0,,survivor,,2.0647,0.0979,-0.711,0.4638,2019:71%,2024:-29%,440610831.49609375,sideways,clean,False,0,0,0,0.009,13,,,2941,2014-01-02,2025-12-30
078140,대봉엘에스,212.0,,survivor,,2.0621,0.0978,-0.7393,0.5447,2020:62%,2018:-35%,788476972.9882812,sideways,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
285490,노바텍,339.0,,survivor,,2.0612,0.1691,-0.7805,0.6623,2020:338%,2022:-51%,929614396.7480468,spike,clean,False,0,0,0,0.004,2,,,1756,2018-11-02,2025-12-30
000810,삼성화재,65121.0,KOSPI,survivor,,2.0532,0.0975,-0.5777,0.3225,2025:46%,2020:-19%,15722737465.625,sideways,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
000970,한국주철관,24131.0,,survivor,,2.043,0.0972,-0.7621,0.4023,2015:136%,2022:-21%,294215067.8603516,spike,clean,False,0,0,0,0.005,4,,,2941,2014-01-02,2025-12-30
000880,한화,20494.0,KOSPI,survivor,,2.0375,0.0971,-0.7527,0.4013,2025:203%,2018:-23%,6722969098.916016,spike,clean,False,0,0,0,0.006,5,,,2941,2014-01-02,2025-12-30
033500,동성화인텍,201.0,,survivor,,2.0351,0.097,-0.7134,0.4325,2025:73%,2015:-37%,1643503893.8828125,sideways,clean,False,0,0,0,0.01,13,,,2941,2014-01-02,2025-12-30
115450,HLB테라퓨틱스,467.0,,survivor,,2.0263,0.0967,-0.8871,0.6701,2015:288%,2025:-73%,3777503078.486328,sideways,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
034020,두산에너빌리티,29119.0,KOSPI,survivor,,2.0242,0.0967,-0.9174,0.5072,2025:329%,2017:-44%,20521460612.671875,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
009835,한화솔루션우,,,survivor,,2.0197,0.0965,-0.8459,0.6165,2020:422%,2021:-42%,131557578.3359375,spike,clean,False,0,0,0,0.014,23,,,2941,2014-01-02,2025-12-30
016360,삼성증권,66121.0,KOSPI,survivor,,2.0054,0.0961,-0.6229,0.2959,2025:82%,2022:-26%,7849581610.1171875,sideways,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
090460,비에이치,2622.0,,survivor,,2.0037,0.0961,-0.6576,0.4979,2017:221%,2018:-38%,7049232301.679688,spike,clean,False,0,0,0,0.005,4,,,2941,2014-01-02,2025-12-30
